Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
237,GONDA,STATION WAGON - SMALL,1.5,4,M6,X,5.96 L/100km,0.62 L/10km,6.09 liters per 100 km,179
238,MATSUDA,SUV - SMALL,2.8,4,AS6,X,,13.54 km/L,7.75 km/L,191
239,LECUS,SUBCOMPACT,3.5,6,AS6,Z,82.86 km per L,0.93 L/10km,48.42 MPG (AS),274
240,FOLD,PICKUP TRUCK - STANDARD,2.7,,AS6,X,4.48 km per L,1.34 L/100 km,7.76 km/L,286
241,JIPU,SUV - SMALL,3.6,not-recorded,A5,X,9999,7.61 km per L,8.33 km per L,335
242,CHEVO,VAN - PASSENGER,4.8,8,A6,X,5.19 km/L,15.04 mpg Imp.,19.05 liters per 100 km,361
243,FOLD,SPECIAL PURPOSE VEHICLE,2,4,AS8,E,5.22 km/L,5.76 km/L,1.83 L/10km,212
244,KIO,STATION WAGON - SMALL,1.6,4,AM6,X,18.14 L/100 km,23.00 MPG (AS),14.58 liters per 100 km,96
245,FOLKSWA,unknown,1.8,4,AM6,X,9.69 MPG (AS),222.81 km/L,7.38 km/L,227
246,BMV,COMPACT,2,4,not-recorded,Z,1.72 L/10km,1.25 L/10km,6.63 km per L,204
247,TOYOTI,SUV - STANDARD,not-available,8,AS6,X,13.29 mpg Imp.,8.43 liters per 100 km,15.48 L/100km,423
248,JIPU,SUV - SMALL,3.6,6,,X,51.65 MPG (AS),6.25 km/L,9.71 L/100km,321
249,TOYOTI,PICKUP TRUCK - STANDARD,,4,AS6,X,,2.23 L/10km,17.69 mpg Imp.,383
250,TOYOTI,MID-SIZE,-1,4,AV7,X,3.24 km per L,9.27 L/100 km,11.12 MPG (AS),178
251,BMV,SUBCOMPACT,3,6,AS8,Z,18.76 liters per 100 km,8.89 km per L,1.54 L/10km,221
252,BMV,COMPACT,2,4,AS8,unspecified,69.00 MPG (AS),4.45 L/100km,72.86 mpg Imp.,202
253,KIO,STATION WAGON - MID-SIZE,2,4,AS6,X,89.99 km per L,16.41 km per L,3.35 L/100 km,380.9196119
254,ASURA,SUV - SMALL,3.5,6,AS6,Z,8.95 MPG (AS),10.73 L/100 km,19.29 liters per 100 km,245
255,DOGE,FULL-SIZE,5.7,8,A5,,20.55 L/100km,7.25 km per L,17.51 liters per 100 km,307
256,DOGE,MID-SIZE,2.4,4,A6,X,1.24 L/100 km,0,7.40 L/100km,203
257,LAND CRAWLER,SUV - STANDARD,3.5,6,AS8,Z,1.11 L/10km,35.51 mpg Imp.,24.29 MPG (AS),333
258,RYUNDAI,SUV - SMALL,2.4,4,AS6,X,14.76 liters per 100 km,8.53 km/L,17.56 MPG (AS),248
259,FOLD,SUBCOMPACT,3.7,6,A6,X,15.84 mpg Imp.,0.09 L/10km,10.22 L/100 km,237
260,BMV,SUBCOMPACT,3,,M6,Z,1.73 L/100 km,6.35 km/L,8.04 liters per 100 km,238
261,NIRRAN,STATION WAGON - SMALL,1.6,4,AV7,X,26.13 L/100 km,10.66 L/100 km,19.17 L/100 km,186
262,FOLD,PICKUP TRUCK - STANDARD,3.6,6,AS10,X,19.69 L/100km,4.16 km/L,21.65 liters per 100 km,313
263,FOLD,SPECIAL PURPOSE VEHICLE,3.5,6,AS8,X,19.73 MPG (AS),32.45 MPG (AS),10.19 km per L,412.6335638
264,KIO,FULL-SIZE,1.6,4,A6,X,0.33 L/10km,41.85 km per L,2.89 L/100km,228
265,BMV,SUV - SMALL,1.5,4,AS8,D,6.19 km per L,59.15 km/L,0.97 L/10km,205
266,FOLD,MID-SIZE,2.3,4,M6,Z,4.86 km/L,22.17 MPG (AS),16.08 liters per 100 km,248
267,LECUS,MID-SIZE,5,8,AV8,Z,27.22 liters per 100 km,6.52 MPG (AS),3.20 km per L,283
268,LECUS,SUV - SMALL,2,4,AS6,Z,1.54 L/10km,15.63 L/100km,15.53 L/100 km,217
269,GONDA,missing,3.5,6,A6,X,42.66 MPG (AS),27.46 MPG (AS),6.89 L/100km,277
270,GONDA,STATION WAGON - SMALL,1.5,4,M6,X,1.50 liters per 100 km,7.09 L/100km,zero,133
271,NIRRAN,STATION WAGON - SMALL,2,4,M6,X,0.57 L/10km,55.33 mpg Imp.,0.54 L/10km,217
272,LECUS,MID-SIZE,3.3,6,AV6,X,8.34 L/100km,0.02 L/10km,50.45 MPG (AS),108
273,CHEVO,SUBCOMPACT,2,4,AV,X,11.84 L/100 km,2.68 liters per 100 km,0.77 L/10km,155
274,CADILUXE,SUV - STANDARD,6.2,,A6,Z,16.83 mpg Imp.,24.89 L/100km,11.51 MPG (AS),423
275,CHEVO,SUV - SMALL,2.5,4,AS6,X,-1,0.33 L/10km,0.69 L/10km,183
276,FOLKSWA,COMPACT,2,4,AM7,Z,24.20 L/100 km,14.56 km per L,16.40 liters per 100 km,222
277,TOYOTI,MID-SIZE,3.5,,AS6,X,29.34 mpg Imp.,0.32 L/10km,6.76 liters per 100 km,227
278,BMV,SUV - SMALL,3,,AS8,Z,8.73 km/L,2.30 L/10km,16.63 L/100 km,265
279,FOLKSWA,COMPACT,2,4,M6,X,8.67 L/100 km,2.04 L/10km,7.17 km per L,215
280,RYUNDAI,SUV - SMALL,1.6,4,AM7,X,4.84 km/L,25.22 MPG (AS),15.57 liters per 100 km,215
281,DOGE,MID-SIZE,3.6,6,A5,X,,11.94 km/L,6.04 L/100 km,249
282,FOLD,FULL-SIZE,3.5,6,AS6,E,0,11.94 mpg Imp.,11.99 MPG (AS),286
283,BMV,COMPACT,2,4,AS8,Z,10.59 km per L,133.08 MPG (AS),16.70 km/L,202
284,MATSUDA,SUV - SMALL,2,4,M6,X,7.80 liters per 100 km,19.35 L/100 km,18.10 MPG (AS),197
285,KIO,SUV - SMALL,2.4,4,AS6,X,18.46 MPG (AS),0.76 L/10km,1.04 L/10km,240
286,BMV,COMPACT,,4,M6,Z,21.07 MPG (AS),0.73 L/10km,29.97 mpg Imp.,226
287,RYUNDAI,SUV - SMALL,2.3,4,AS6,X,43.93 km per L,92.41 mpg Imp.,38.06 km/L,281
288,LECUS,SUBCOMPACT,5,8,AS10,Z,118.40 mpg Imp.,20.22 mpg Imp.,13.16 km/L,291
289,NIRRAN,MID-SIZE,,8,M5,X,11.18 km per L,2.96 km per L,14.02 mpg Imp.,99
290,GONDA,unestablished,3.5,6,,X,,0.52 L/100km,5.49 L/100km,257
291,TOYOTI,SUV - STANDARD,3.5,6,AS8,X,15.08 mpg Imp.,19.94 mpg Imp.,14.10 MPG (AS),255
292,DOGE,MID-SIZE,6.2,8,M6,Z,80.28 mpg Imp.,6.45 MPG (AS),18.34 liters per 100 km,454
293,LECUS,MID-SIZE,2.5,4,AV6,X,19.19 liters per 100 km,94.33 mpg Imp.,11.90 L/100km,178
294,CHEVO,VAN - CARGO,5.3,8,A4,X,1.33 L/100km,10.37 L/100 km,5.40 L/100 km,381
295,CHEVO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.54 MPG (AS),2.08 L/100km,9.26 L/100km,420
296,NIRRAN,SUV - SMALL,3.5,,AV,X,7.93 km per L,22.27 km/L,8.96 L/100 km,229
297,FOLD,PICKUP TRUCK - STANDARD,3.5,6,A6,E,23.16 liters per 100 km,7.38 L/100km,14.64 MPG (AS),281
298,JIPU,SUV - SMALL,2.5,4,-1,X,18.79 L/100 km,11.48 liters per 100 km,15.50 L/100 km,227
299,FOLD,SUV - STANDARD,2,4,A6,X,13.21 MPG (AS),65.72 MPG (AS),11.41 liters per 100 km,234
300,TOLVO,SUV - STANDARD,2,4,AS8,Z,0.90 L/10km,12.93 L/100km,10.77 liters per 100 km,233
301,CHEVO,TWO-SEATER,2,4,na,Z,17.66 liters per 100 km,0.12 L/10km,9.73 km/L,354
302,LAMBOGI,TWO-SEATER,2.5,4,AM7,Z,0.55 L/10km,8.71 L/100km,40.77 mpg Imp.,346
303,CHEVO,SUBCOMPACT,,unknown,M6,Z,4.73 km/L,27.46 mpg Imp.,1.62 L/10km,393
304,BMV,SUV - STANDARD,3,6,AS8,D,1.11 L/10km,7.52 liters per 100 km,10.51 km per L,232
305,FOLD,PICKUP TRUCK - STANDARD,,,not-recorded,X,6.30 L/100 km,5.63 liters per 100 km,16.66 km/L,319
306,FOLD,PICKUP TRUCK - STANDARD,,8,AS10,not-recorded,13.97 km/L,0.10 L/10km,4.40 liters per 100 km,334
307,TOYOTI,MINIVAN,1.4,4,AS6,X,16.25 MPG (AS),31.06 L/100 km,21.94 liters per 100 km,276
308,FOLD,SUV - STANDARD,1.8,4,-1,X,16.10 mpg Imp.,11.24 mpg Imp.,2.10 L/10km,284
309,RYUNDAI,COMPACT,3.5,6,M6,X,9.57 km/L,19.02 km per L,29.00 MPG (AS),96
310,DOGE,FULL-SIZE,3.6,6,A5,X,0.61 L/10km,9999,4.88 L/100km,245
311,FOLKSWA,STATION WAGON - SMALL,1.8,4,AM6,X,14.35 L/100 km,31.37 km per L,30.28 mpg Imp.,221
312,ASURA,TWO-SEATER,3.5,6,AM9,Z,56.76 MPG (AS),31.22 MPG (AS),5.67 L/100km,286
313,RYUNDAI,FULL-SIZE,2.4,4,AS6,X,3.97 km/L,33.39 km/L,6.57 km/L,190
314,FOLD,MID-SIZE,2.3,4,M6,Z,32.73 liters per 100 km,1.28 L/10km,23.77 L/100km,246
315,FOLD,SPECIAL PURPOSE VEHICLE,not-recorded,4,AS6,not-recorded,3.93 liters per 100 km,0.91 L/10km,16.01 km per L,227
316,TOYOTI,,2.5,4,AS8,X,1.02 L/10km,1.44 L/10km,19.49 MPG (AS),159
317,FOLKSWA,COMPACT,1.8,4,M5,X,29.56 liters per 100 km,42.38 mpg Imp.,19.26 L/100km,195
318,DOGE,FULL-SIZE,1.5,4,A5,X,22.22 liters per 100 km,8.96 km per L,zero,308
319,MATSUDA,MID-SIZE,2,na,M6,X,24.97 mpg Imp.,22.48 MPG (AS),9.15 km/L,170
320,FOLD,SUV - SMALL,2.7,,AS8,X,0.36 L/10km,5.15 km per L,1.07 L/10km,255
321,CHEVO,COMPACT,1.4,4,AS6,X,22.10 mpg Imp.,1.39 L/100 km,7.66 liters per 100 km,116
322,CHEVO,SUV - STANDARD,unknown,5,A6,unknown,8.45 km per L,11.41 liters per 100 km,8.59 km per L,309
323,NIRRAN,TWO-SEATER,2,4,AS7,Z,14.90 mpg Imp.,17.28 L/100 km,1.82 L/10km,274
324,BMV,unknown,1.8,4,M6,not-recorded,20.05 L/100 km,0.08 L/10km,8.80 km per L,338
325,BMV,FULL-SIZE,6,12,na,Z,1.85 km/L,4.49 km/L,3.98 L/10km,357
326,RYUNDAI,MID-SIZE,2,4,M6,X,2.96 L/100 km,3.94 L/100 km,29.41 km per L,184
327,LECUS,MID-SIZE,2.5,4,AV6,X,0.76 L/10km,0.39 L/10km,5.94 liters per 100 km,155
328,GONDA,SUV - SMALL,3.5,6,A6,X,17.73 L/100 km,67.30 MPG (AS),11.32 L/100km,270
329,NIRRAN,PICKUP TRUCK - SMALL,,6,A5,X,33.82 mpg Imp.,25.65 liters per 100 km,1.61 L/10km,329
330,CADILUXE,COMPACT,3.6,,,X,11.30 L/100km,1.18 L/10km,not-available,245
331,CHEVO,PICKUP TRUCK - STANDARD,unspecified,8,unspecified,X,26.22 L/100km,13.18 liters per 100 km,13.88 mpg Imp.,503.8219614
332,FOLKSWA,COMPACT,,4,AM6,Z,465.34 mpg Imp.,870.84 km per L,259.40 km/L,552.2041359
333,BMV,COMPACT,2,4,AS8,Z,9.46 L/100 km,9.72 liters per 100 km,9.58 liters per 100 km,203
334,NIRRAN,TWO-SEATER,3.7,6,M6,Z,2.46 km per L,2.01 L/10km,31.41 L/100km,284
335,TOYOTI,MID-SIZE,3.5,unspecified,AS6,X,86.80 km/L,0.75 L/10km,24.83 km per L,227
336,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,25.44 MPG (AS),6.81 L/100km,0.81 L/10km,260
337,LAND CRAWLER,SUV - SMALL,2,4,AS9,Z,34.28 L/100 km,8.09 liters per 100 km,4.45 km per L,281
338,FOLKSWA,SUV - SMALL,2,4,AS6,Z,5.77 km/L,32.64 km/L,9.16 km/L,282
339,FOLD,PICKUP TRUCK - STANDARD,5,,AS6,X,22.39 liters per 100 km,19.50 liters per 100 km,11.15 MPG (AS),413
340,TOYOTI,MID-SIZE,2.5,4,AV,X,10.42 L/100 km,1.23 L/10km,1.13 L/10km,168
341,GONDA,STATION WAGON - SMALL,1.5,4,A5,X,56.23 MPG (AS),14.54 km per L,0.54 L/10km,117
342,JIPU,SUV - SMALL,2,4,A9,X,8.48 km/L,38.39 MPG (AS),9.24 L/100km,255
343,FOLD,SUBCOMPACT,3.7,6,A6,X,13.99 liters per 100 km,17.92 L/100 km,14.93 MPG (AS),240
344,DOGE,SUV - SMALL,3.6,,A6,X,5.99 L/100km,9.75 km per L,29.73 MPG (AS),299
345,KIO,STATION WAGON - SMALL,,4,AS6,X,not-available,11.26 L/100 km,zero,213
346,CHEVO,COMPACT,1.8,4,AS6,X,9.69 liters per 100 km,5.57 km per L,7.46 km/L,195
347,BARUSU,SUV - SMALL,3.6,6,AV6,X,1.88 L/10km,0.43 L/10km,12.26 liters per 100 km,243
348,DOGE,SUV - STANDARD,5.7,8,A8,X,36.42 mpg Imp.,4.69 km per L,13.87 L/100 km,347
349,TOLVO,SUV - SMALL,,6,AS6,X,49.36 MPG (AS),10.99 L/100km,7.57 L/100km,390.8433066
350,JIPU,SUV - SMALL,na,6,M5,X,7.88 mpg Imp.,16.98 MPG (AS),-9999,215
351,CADILUXE,SUV - STANDARD,3.6,6,unspecified,X,14.03 MPG (AS),14.09 MPG (AS),16.88 mpg Imp.,299
352,BMV,SUBCOMPACT,5.7,8,AS8,Z,17.64 L/100km,57.54 mpg Imp.,8.40 km/L,220
353,RYUNDAI,FULL-SIZE,2,4,AS6,X,15.51 MPG (AS),7.41 L/100km,20.14 MPG (AS),206
354,DOGE,MINIVAN,3.6,6,A6,E,5.29 km/L,14.85 L/100km,5.86 km/L,274
355,RYUNDAI,SUV - SMALL,1.6,4,,X,10.52 mpg Imp.,201.00 km/L,14.99 liters per 100 km,234
356,KIO,FULL-SIZE,3.6,6,AS6,X,64.16 km/L,8.78 km per L,16.71 km/L,227
357,TOYOTI,PICKUP TRUCK - SMALL,2.7,4,AS6,X,3.09 liters per 100 km,25.31 MPG (AS),5.88 L/100km,280
358,TOYOTI,SUV - STANDARD,4,6,AS5,X,6.02 L/100km,28.64 MPG (AS),7.01 L/100km,294
359,BMV,COMPACT,2,4,unknown,Z,13.19 L/100 km,675.62 mpg Imp.,13.44 km per L,213
360,MATSUDA,MID-SIZE,2.5,4,M6,X,17.90 L/100 km,4.69 liters per 100 km,11.95 L/100km,188
361,BMV,SUBCOMPACT,3,6,AM7,Z,5.86 L/100km,19.15 km/L,0.56 L/10km,292
362,LECUS,COMPACT,1.4,4,AS6,Z,15.30 MPG (AS),42.91 mpg Imp.,8.76 km/L,226
363,TOYOTI,MID-SIZE,1.8,not-available,AV,X,22.07 liters per 100 km,14.24 L/100 km,5.39 km/L,171
364,CHEVO,SUBCOMPACT,,4,M5,X,10.04 mpg Imp.,704.44 km/L,1.55 L/10km,114
365,MITSU,STATION WAGON - SMALL,unestablished,4,M5,X,29.80 mpg Imp.,7.40 L/100km,0.85 L/10km,212
366,FOLD,MID-SIZE,2.5,4,A6,X,5.96 MPG (AS),12.33 km per L,11.14 mpg Imp.,217
367,BMV,FULL-SIZE,4.4,8,A8,Z,9.91 liters per 100 km,10.71 mpg Imp.,17.31 L/100 km,297
368,JIPU,SUV - SMALL,4.6,,A8,X,13.35 L/100 km,9.22 L/100 km,11.49 L/100 km,270
369,KIO,FULL-SIZE,1.6,4,AM7,X,80.93 mpg Imp.,13.61 km per L,0.52 L/10km,179
370,FOLD,PICKUP TRUCK - STANDARD,1.5,unknown,AS6,X,15.83 mpg Imp.,35.24 MPG (AS),12.82 L/100km,321
371,JIPU,SUV - SMALL,3.2,6,A9,X,28.57 liters per 100 km,13.93 liters per 100 km,,276
372,BMV,SUV - STANDARD,3,-1,AS8,Z,41.61 mpg Imp.,21.51 km per L,5.83 L/100 km,277
373,FOLD,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,29.88 MPG (AS),6.68 L/100km,7.34 L/100 km,359
374,LECUS,MID-SIZE,-1,4,AV6,X,,9.44 km per L,14.00 MPG (AS),163
375,TOYOTI,MINICOMPACT,2,4,M6,,-9999,9.55 MPG (AS),1.29 L/10km,236
376,GONDA,MID-SIZE,2.4,4,AV,X,7.38 L/100km,38.30 MPG (AS),34.47 MPG (AS),186
377,DOGE,SUV - SMALL,3.6,6,A6,X,3.31 L/10km,43.54 mpg Imp.,2.11 L/10km,295
378,NIRRAN,SUV - STANDARD,,8,AS7,X,zero,24.31 mpg Imp.,16.22 L/100km,389
379,LAND CRAWLER,SUV - STANDARD,1.4,4,AS8,Z,3.31 km/L,6.08 km/L,11.76 mpg Imp.,434
380,NIRRAN,STATION WAGON - MID-SIZE,3.5,6,AV7,X,10.44 MPG (AS),3.33 liters per 100 km,zero,233
381,MITSU,SUV - SMALL,2.4,4,AV6,X,36.23 km per L,1.04 L/100km,1.99 L/100 km,203
382,BARUSU,SUV - SMALL,missing,4,AV8,Z,12.75 liters per 100 km,21.29 MPG (AS),11.98 liters per 100 km,226
383,KIO,SUV - SMALL,2.3,,AS6,X,3.12 km per L,14.06 km/L,4.80 km per L,260
384,FOLD,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,8.55 L/100km,22.61 L/100 km,15.81 MPG (AS),336
385,GONDA,SUV - SMALL,3,6,AV,X,11.27 MPG (AS),6.81 L/100km,19.42 mpg Imp.,96
386,BMV,SUBCOMPACT,3,6,AM7,Z,22.73 L/100 km,3.82 L/10km,-1,298
387,KIO,MINIVAN,3.5,6,A6,X,23.53 L/100 km,0.17 L/10km,17.16 MPG (AS),286
388,TOLVO,SUV - SMALL,2,4,AS8,Z,371.10 MPG (AS),8.20 liters per 100 km,4.04 liters per 100 km,216
389,FOLD,SUV - STANDARD,3.5,6,AS6,X,92.07 mpg Imp.,36.79 mpg Imp.,0.51 L/10km,289
390,LAMBOGI,TWO-SEATER,5.2,10,AM7,Z,52.49 MPG (AS),-9999,20.79 km per L,349
391,CHEVO,MID-SIZE,1.4,4,,X,15.89 L/100km,0.65 L/10km,24.19 mpg Imp.,159
392,MATSUDA,MINIVAN,2.4,4,M6,X,0.27 L/10km,92.63 MPG (AS),38.37 km/L,226
393,MATSUDA,MID-SIZE,2.5,4,M6,X,4.13 km per L,6.78 km/L,19.94 L/100km,187
394,GONDA,COMPACT,1.5,4,AV7,X,3.47 km/L,85.38 MPG (AS),16.54 mpg Imp.,145
395,RYUNDAI,MID-SIZE,1.5,unspecified,not-recorded,X,0.36 L/10km,14.12 liters per 100 km,33.84 mpg Imp.,206
396,BMV,TWO-SEATER,3,6,,Z,6.77 L/100 km,0.19 L/100km,0.38 L/10km,539.9451501
397,MATSUDA,SUV - SMALL,2.5,4,AS6,unspecified,30.44 L/100km,121.87 MPG (AS),5.68 km/L,243
398,BARUSU,MID-SIZE,2,4,M5,X,81.94 MPG (AS),5.77 L/100km,23.94 km per L,208
399,BMV,COMPACT,3,6,AS8,Z,13.60 L/100 km,13.01 km per L,9.14 km per L,224
400,LAMBOGI,TWO-SEATER,5.2,10,AM7,Z,2.33 km/L,62.50 MPG (AS),25.27 L/100 km,358
401,TOYOTI,SUV - SMALL,3.5,6,AS6,X,1.84 L/10km,0.03 L/10km,22.87 MPG (AS),247
402,MITSU,COMPACT,1.8,4,AM6,Z,14.50 L/100km,122.19 mpg Imp.,26.10 MPG (AS),297
403,BMV,FULL-SIZE,4.4,8,AS8,Z,15.28 mpg Imp.,0.87 L/10km,14.08 L/100 km,291
404,FOLD,SUBCOMPACT,2.3,4,M6,,23.71 L/100km,88.70 km per L,13.55 liters per 100 km,243
405,ASURA,COMPACT,3.5,unestablished,AS9,Z,0.33 L/10km,14.24 L/100 km,34.46 mpg Imp.,220
406,LECUS,SUBCOMPACT,3.5,6,AV10,Z,18.21 L/100 km,46.64 MPG (AS),12.29 L/100 km,185
407,CHEVO,SUV - SMALL,2.4,4,A6,unspecified,4.91 liters per 100 km,22.08 mpg Imp.,8.46 L/100km,217
408,NIRRAN,TWO-SEATER,3.7,6,AS7,Z,0.77 liters per 100 km,535.23 km per L,196.43 km/L,270
409,CHEVO,MID-SIZE,1.4,4,AS6,X,0.41 liters per 100 km,4.99 liters per 100 km,114.26 mpg Imp.,194
410,NIRRAN,MID-SIZE,,4,unestablished,X,7.20 L/100 km,23.82 liters per 100 km,6.81 km/L,166
411,CADILUXE,COMPACT,3.6,not-available,AS8,X,48.00 MPG (AS),18.59 liters per 100 km,21.26 MPG (AS),247
412,RYUNDAI,MID-SIZE,2,4,AS6,X,9.59 L/100km,14.49 km/L,8.38 liters per 100 km,188
413,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,E,16.51 L/100km,10.58 L/100km,16.99 MPG (AS),243
414,RYUNDAI,SUV - SMALL,3.3,,AS6,X,25.22 L/100km,20.21 L/100km,22.97 L/100km,280
415,TOYOTI,SUV - STANDARD,3.5,,AS6,X,3.82 L/100 km,2.09 L/10km,8.68 km/L,285
416,RYUNDAI,FULL-SIZE,1.6,4,AM7,X,5.39 km per L,105.18 mpg Imp.,11.42 L/100km,208
417,MATSUDA,TWO-SEATER,3.5,6,M6,Z,2.72 L/100 km,12.92 MPG (AS),10.32 km/L,186
418,TOYOTI,SUV - SMALL,3.5,6,AS8,X,25.62 MPG (AS),15.08 L/100 km,23.86 mpg Imp.,232
419,CADILUXE,MID-SIZE,6.2,8,AS6,Z,,4.39 km per L,2.46 L/10km,354
420,FIAR,MINICOMPACT,3.6,,M5,X,13.54 liters per 100 km,1.13 L/10km,22.56 mpg Imp.,127
421,NIRRAN,PICKUP TRUCK - SMALL,2.5,4,A5,X,-1,13.71 km per L,7.44 km per L,303
422,GONDA,MID-SIZE,2.4,4,AV,X,5.60 liters per 100 km,772.05 km per L,3.14 L/100km,96
423,CHEVO,MID-SIZE,,4,AS6,,35.16 mpg Imp.,9.78 km/L,zero,135
424,NIRRAN,MID-SIZE,3.5,6,AV7,X,393.57 mpg Imp.,13.88 L/100 km,6.64 liters per 100 km,206
425,JIPU,SUV - SMALL,3.6,6,M6,X,2.86 km per L,0.23 L/10km,4.93 km/L,315
426,TOLVO,COMPACT,,4,AS8,X,39.07 mpg Imp.,22.31 MPG (AS),26.97 MPG (AS),189
427,LECUS,COMPACT,1.8,4,AV,X,22.49 L/100 km,109.24 mpg Imp.,13.53 L/100km,173
428,MATSUDA,SUV - SMALL,2.5,4,AS6,X,zero,16.00 MPG (AS),7.18 km/L,202
429,FOLD,SUBCOMPACT,1.6,4,M5,X,0.87 L/10km,0.32 L/10km,9999,129
430,TOLVO,STATION WAGON - MID-SIZE,,4,AS8,Z,26.88 L/100km,14.73 L/100 km,21.41 L/100km,239
431,TOYOTI,PICKUP TRUCK - SMALL,2.7,4,AS6,X,0.53 liters per 100 km,7.60 km/L,45.48 mpg Imp.,276
432,FOLD,SUBCOMPACT,5,8,AS6,X,4.94 km per L,16.73 liters per 100 km,15.14 mpg Imp.,317
433,JIPU,SUV - SMALL,3.6,-1,M6,X,20.07 L/100km,8.24 liters per 100 km,1.47 L/10km,275
434,DOGE,MID-SIZE,6.4,8,M6,,22.75 L/100km,37.54 mpg Imp.,15.90 L/100km,318
435,TOYOTI,PICKUP TRUCK - SMALL,3.5,6,AS6,X,not-available,12.89 mpg Imp.,2.28 L/10km,273
436,CHEVO,SUV - STANDARD,5.3,8,A6,E,zero,38.41 mpg Imp.,59.96 mpg Imp.,276
437,RYUNDAI,SUV - SMALL,,8,AS6,X,9.92 MPG (AS),34.89 km per L,14.33 liters per 100 km,281
438,GONDA,FULL-SIZE,1.5,4,M6,X,11.62 liters per 100 km,2.86 L/100km,36.81 mpg Imp.,188
439,LECUS,COMPACT,,,AS8,Z,6.63 km per L,5.45 km per L,6.04 km per L,292
440,CHEVO,COMPACT,1.4,4,M6,X,1.45 L/10km,12.09 km per L,11.67 liters per 100 km,186
441,ASURA,MID-SIZE,3.5,,AS6,Z,97.32 MPG (AS),1.06 L/10km,46.28 mpg Imp.,219
442,BMV,COMPACT,3,6,M6,Z,5.10 L/100 km,3.93 L/100 km,21.87 km/L,242
443,TOYOTI,SUV - SMALL,2.5,4,AS6,X,1.26 L/10km,0.19 liters per 100 km,7.01 liters per 100 km,219
444,FIAR,SUV - SMALL,2.4,4,A9,X,0.78 L/10km,1.21 L/10km,0.98 L/10km,218
445,BMV,COMPACT,3,6,,Z,5.04 km per L,16.54 km/L,13.63 liters per 100 km,237
446,BMV,COMPACT,2,4,AS8,Z,20.09 L/100km,55.80 mpg Imp.,7.50 km/L,213
447,GONDA,COMPACT,2,4,AV,X,9.85 mpg Imp.,19.61 MPG (AS),11.11 MPG (AS),178
448,GONDA,FULL-SIZE,2,4,M6,unestablished,12.03 L/100 km,29.26 L/100 km,19.78 L/100km,192
449,KIO,COMPACT,1.6,4,M6,X,8.35 km/L,0.13 L/10km,39.40 mpg Imp.,218
450,GONDA,STATION WAGON - SMALL,1.5,4,AV7,X,4.98 L/100km,16.28 km/L,18.18 km per L,181
451,FOLD,MID-SIZE,2,4,M6,X,9999,28.98 liters per 100 km,2.04 L/10km,223
452,JIPU,SUV - SMALL,2.4,4,M5,,13.34 liters per 100 km,38.55 km/L,11.76 km per L,209
453,FOLKSWA,COMPACT,1.8,4,M5,X,19.40 L/100km,7.94 km/L,17.29 mpg Imp.,200
454,GONDA,MID-SIZE,,4,M6,X,0.09 L/10km,35.73 MPG (AS),82.06 mpg Imp.,181
455,GONDA,TWO-SEATER,,4,M6,X,16.50 MPG (AS),130.79 km/L,8.18 liters per 100 km,154
456,FOLKSWA,COMPACT,1.8,4,M5,X,30.42 mpg Imp.,1.93 L/10km,13.77 L/100km,207
457,BMV,SUBCOMPACT,3,,AS8,Z,33.30 MPG (AS),10086.02 km/L,3.89 liters per 100 km,222
458,ASURA,COMPACT,2.4,4,AM8,Z,67.28 mpg Imp.,10.37 L/100 km,40.50 mpg Imp.,191
459,KIO,STATION WAGON - SMALL,1.6,4,unestablished,X,14.35 MPG (AS),1.63 liters per 100 km,10.26 km/L,117
460,RYUNDAI,MID-SIZE,,4,AS6,X,14.64 liters per 100 km,18.74 km per L,22.50 MPG (AS),196
461,CADILUXE,missing,3,6,AS8,Z,7.69 mpg Imp.,2.84 liters per 100 km,4.65 km/L,266
462,BMV,SUV - STANDARD,,8,AS8,Z,3.71 km per L,29.89 MPG (AS),18.38 liters per 100 km,308
463,ASURA,TWO-SEATER,3.5,6,AM9,missing,63.83 MPG (AS),40.14 mpg Imp.,19.25 km per L,636.4744846
464,MITSU,COMPACT,1.2,3,AV,X,188.27 km per L,8.33 km per L,17.56 km/L,172
465,CADILUXE,MID-SIZE,3.6,6,AS8,Z,1.01 L/10km,233.95 MPG (AS),16.70 km/L,224
466,KIO,SUV - SMALL,missing,4,AS6,X,10.36 L/100km,1.14 L/10km,21.76 MPG (AS),243
467,TOYOTI,PICKUP TRUCK - SMALL,3,,AS6,X,4.05 L/100 km,,8.82 L/100 km,286
468,DOGE,MID-SIZE,6.4,,M6,Z,not-available,10.75 L/100km,5.12 km/L,311
469,FOLKSWA,COMPACT,1.8,4,M5,X,4.42 km per L,6.11 L/100km,-1,206
470,LECUS,SUV - SMALL,2.5,4,AV6,X,6.94 liters per 100 km,5.24 liters per 100 km,6.18 L/100km,138
